"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU6","Tasmania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2009","2009","AUD","Australian Dollar","6","Millions","2015","2015",3107.32,,
"2","Large regions (TL2)","AU6","Tasmania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2010","2010","AUD","Australian Dollar","6","Millions","2015","2015",3073.53,,
"2","Large regions (TL2)","AU6","Tasmania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","AUD","Australian Dollar","6","Millions","2015","2015",3384.87,,
"2","Large regions (TL2)","AU6","Tasmania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","AUD","Australian Dollar","6","Millions","2015","2015",3528.26,,
"2","Large regions (TL2)","AU6","Tasmania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2013","2013","AUD","Australian Dollar","6","Millions","2015","2015",3451.54,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2004","2004","AUD","Australian Dollar","6","Millions","2015","2015",2984.4,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","AUD","Australian Dollar","6","Millions","2015","2015",3556.82,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","AUD","Australian Dollar","6","Millions","2015","2015",4897.54,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","AUD","Australian Dollar","6","Millions","2015","2015",4872.63,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2008","2008","AUD","Australian Dollar","6","Millions","2015","2015",4857.45,,
